id,POBTOT
Acambay,67872
Acolman,171507
Aculco,49266
Almoloya de Alquisiras,15333
Almoloya de Juárez,174587
Almoloya del Río,12694
Amanalco,23675
Amatepec,25244
Amecameca,53441
Apaxco,31898
Atenco,75489
Atizapán,12984
Atizapán de Zaragoza,523674
Atlacomulco,109384
Atlautla,31900
Axapusco,29128
Ayapango,10053
Calimaya,68489
Capulhuac,36921
Chalco,791788
Chapa de Mota,31737
Chapultepec,12772
Chiautla,30045
Chicoloapan,200750
Chiconcuac,27692
Chimalhuacán,705193
Coacalco de Berriozábal,293444
Coatepec Harinas,38643
Cocotitlán,15107
Coyotepec,40885
Cuautitlán,178847
Cuautitlán Izcalli,555163
Donato Guerra,37436
Ecatepec de Morelos,1645352
Ecatzingo,10827
El Oro,36937
Huehuetoca,163244
Hueypoxtla,46757
Huixquilucan,284965
Isidro Fabela,11929
Ixtapaluca,542211
Ixtapan de la Sal,36911
Ixtapan del Oro,6475
Ixtlahuaca,160139
Jaltenco,43100
Jilotepec,87671
Jilotzingo,19877
Jiquipilco,76826
Jocotitlán,69264
Joquicingo,15428
Juchitepec,27116
La Paz,304088
Lerma,170327
Malinalco,28155
Melchor Ocampo,61220
Metepec,242307
Mexicaltzingo,13807
Morelos,33164
Naucalpan de Juárez,834434
Nextlalpan,57082
Nezahualcóyotl,1077208
Nicolás Romero,430601
Nopaltepec,10351
Ocoyoacac,72103
Ocuilan,36223
Otumba,36331
Otzoloapan,4891
Otzolotepec,88783
Ozumba,30785
Papalotla,4862
Polotitlán,14985
Rayón,15972
San Antonio La Isla,31962
San Felipe del Progreso,245006
San Martín de las Piráámides,29182
San Mateo Atenco,97418
San Simón de Guerrero,6692
Santo Tomás,9729
Soyaniquilpan de Juárez,14323
Sultepec,24145
Tecámac,547503
Tejupilco,108104
Temamatla,14130
Temascalapa,43593
Temascalcingo,66414
Temascaltepec,35014
Temoaya,105766
Tenancingo,104677
Tenango del Aire,11359
Tenango del Valle,90518
Teoloyucán,65459
Teotihuacán,58507
Tepetlaoxtoc,32564
Tepetlixpa,20500
Tepotzotlán,103696
Tequixquiac,39489
Texcaltitlán,18482
Texcalyacac,5736
Texcoco,277562
Tezoyuca,47044
Tianguistenco,84259
Timilpan,16414
Tlalmanalco,49196
Tlalnepantla,672202
Tlatlaya,31762
Toluca,910608
Tonatico,12912
Tultepec,157645
Tultitlán,516341
Valle de Bravo,61590
Villa de Allende,53275
Villa del Carbón,51498
Villa Guerrero,69086
Villa Victoria,108196
Jalatlaco,30687
Xonacatlán,54633
Zacazonapan,5109
Zacualpan,13522
Zinacatepec,203872
Zumpahuacan,18833
Zumpango,280455
